subject,subject_en,type
Problème de scintillement de l'écran sur Dell XPS 13,Screen scanning problem on Dell XPS 13,Problem
Urgent : Discrepance de Facturation dans la Facture AWS,Emergency: Billing Discrepantion in the AWS Factor,Request
Consulta sobre discrepancia de facturación,Billing Disrepair Consult,Request
Solicitação de Serviço de Consultoria em TI,Request for IT Consultancy Service,Request
Hilfe bei einem Problem mit der drahtlosen Verbindung zum HP DeskJet 3755,Help with a problem with wireless connection to HP DeskJet 3755,Incident
Urgent : Discrepance de facturation dans la facture AWS,Urgent: Billing Discrepancy in the AWS Bill,Request
Browser-Performanceproblem,Browser-Performanceproblem,Incident
Intermittierende Verbindungsprobleme,Intermittent connection problem,Incident
Solicitação de Atualização da Integração de Faturamento e Otimização do Fluxo de Trabalho,Request for Update of the Integration of Billing and Optimization of Workflow,Change
Problema con Jira Software 8.20,Problema con Jira Software 8.20,Problem
Dringende Hilfe benötigt,Urgent help is needed,Request
Problemas de Conectividad con el Punto de Acceso TP-Link,Connectivity Problems with the TP-Link Access Point,Problem
Anfrage zur Änderung der Lieferadresse,Request for amendment of the delivery address,Change
Falhas de Implantação e Solicitação de Otimização de Custos,Implementing and Requesting Cost Optimization Errors,Problem
Outlook-Anmeldeproblem,Outlook Login problem,Incident
Problemas de conectividad de red,Network connectivity problems,Problem
Dell XPS 13 9310 Probleme,Dell XPS 13 9310 Problems,Request
Solicitação de Orientação: Otimização de Configurações de Servidor,Orientation Request: Optimisation of Server Settings,Request
Anfrage zur Änderung der Benutzerberechtigungen,Request for amendment of user rights,Change
Solicitud de asistencia para el intercambio de productos,Request for assistance for product exchange,Problem
Signaler des problèmes liés à l'utilisation de Jira Software,Report problems with the use of Jira Software,Incident
Problème intermittent de l'écran tactile avec le Surface Pro 7,Intermediate problem of the touch screen with surface Pro 7,Incident
Asistencia para la configuración de impresión móvil,Cannot initialise Evolution's mail component.,Request
Assistência Necessária para Soluções de TI,Necessary Assistance for TI Solutions,Request
Problema de Cobrança: Renovação da Assinatura do Adobe Photoshop,Cobnance Problem: Renewal of Adobe Photoshop Assinator,Problem
[NO_SUBJECT],[NO_SUBJECT],Problem
Dringende Unterstützung bei der Einrichtung für AWS Kostenmanagement benötigt,Emergency support is needed when setting up AWS cost management,Request
Urgente: Impacto crítico na conectividade da rede corporativa,Emergency: Critical impact on corporate network connectivity,Incident
Problema de sonido después de la actualización,Audio problem after update,Incident
[NO_SUBJECT],[NO_SUBJECT],Change
Problema de Doble Carga,Double Load Problem,Incident
[NO_SUBJECT],[NO_SUBJECT],Problem
Assistência com Erro de Faturamento,Assistance with Billing Errors,Request
Demande d'assistance : Problème de scintillement de l'écran sur ordinateur portable,Request for help: Shutting down the screen on a portable computer,Incident
Problema del sistema de tickets: Tiempos de respuesta demorados en Jira,Problem of the ticket system: Response times delayed in Jira,Incident
Problemas de implementación en la nube de AWS y soluciones,Implementation problems in the AWS cloud and solutions,Incident
Dringendes Problem mit Jira-Update,Urgent problem with Jira update,Problem
Problema con la función inalámbrica de Epson EcoTank ET-4760,Problem with Epson EcoTunk ET-476,Incident
Problema Urgente de Implementación de AWS,AWS Implementation Urgent Problem,Problem
Asistencia Urgente Necesaria: Tiempo de inactividad del Cisco ISR4331,Emergency assistance Necessary: Time of inactivity of Cisco ISR4331,Incident
Sofortige Unterstützung bei Geräuschproblemen mit HP DeskJet 3755 gesucht,Instant support for noise problems with HP DeskJet 3755,Incident
Solicitação de Suporte Urgente: Problema com Dell XPS 13 9310,Emergency Support Request: Problem with Dell XPS 13 9310,Incident
Piques des coûts d'instances AWS,Costs of AWS instances,Incident
"Dringend: Sofortige Unterstützung benötigt für das Cisco Router ISR4331 Neustartschleifenproblem, das die Netzwerkverbindung beeinträchtigt",Urgent: Emergency support is needed for the Cisco router ISR4331 Restarting Problem affecting network connection,Incident
Flimmerndes Display-Problem bei Dell XPS 13,Fleming display problem with Dell XPS 13,Problem
Solicitação de Upgrade para Office 365 Business,Upgrade Request for Office 365 Business,Request
Hochpriorisierter Support: Cisco Router Probleme,Hochpriorisierter Support: Cisco Router Probleme,Problem
Anfrage zu Abweichungen in der Abrechnung bei AWS,Request for differences in the calculation at AWS,Incident
Urgente: Interrupción de Red por el Router ISR4331,Emergency: Network interruption by router ISR4331,Incident
Anfrage nach Unterstützung beim effizienten Zoom-Setup,Request for support for efficient zoom setup,Change
Hilfe beim Teilen des Bildschirms in Zoom,Help to split the screen in Zoom,Request
Consulta sobre el envío y la devolución del Dell XPS 13,Consultation on the delivery and return of Dell XPS 13,Request
Problème de double facturation,Double-declining depreciation [d],Problem
Dringend: Netzwerkausfall aufgrund von AWS-Konfiguration,Urgent: Network waste due to AWS configuration,Incident
Klärungsbedarf zu Zahlungsdetails,Clearance requirements for payment details,Request
[NO_SUBJECT],[NO_SUBJECT],Problem
[NO_SUBJECT],[NO_SUBJECT],Problem
Dringende Bereitstellung von Servern während des AWS-Ausfalls,Emergency provision of servers during the AWS disaster,Change
Problemas al iniciar videollamadas después de la actualización,Problems getting video calls after update,Problem
Problemas de conectividad urgentes,Emergency connectivity problems,Incident
Kritisches Displayproblem mit Laptop,Critical display problem with laptop,Incident
Asistencia con MacBook Air M1,Asistencia con MacBook Air M1,Request
Attention immédiate requise : disruptions réseau récurrentes,Emergency attention required: current network interruptions,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
[NO_SUBJECT],[NO_SUBJECT],Request
Problema con la impresora Canon PIXMA MG3620 y la impresión a doble cara,Problem with Canon PIXMA MG3620 printer and double-face printing,Problem
[NO_SUBJECT],[NO_SUBJECT],Request
[NO_SUBJECT],[NO_SUBJECT],Request
Falsches AWS-Abrechnungsproblem,False AWS settlement problem,Incident
Problema del Backlog de Jira,Jira's Backlog Problem,Incident
Consulta: Compatibilidad del software de diseño gráfico con MacBook Air M1,Consult: Compatibility of graphics design software with MacBook Air M1,Request
Actualización de la Arquitectura del Servidor,Server Architecture Update,Change
Demande concernant Microsoft Surface Pro 7,Demande concernant Microsoft Surface Pro 7,Request
Urgente: Problema de Jira Software 8.20 que afecta la gestión de proyectos,Emergency: Jira Software problem 8.20 which affects project management,Incident
[NO_SUBJECT],[NO_SUBJECT],Change
Asistencia Necesaria con la Configuración del MacBook Air M1,Necessary Assistance with MacBook Air M1 Configuration,Request
Anfrage für IT-Beratung,Application for IT advice,Request
Anfrage zu MacBook Air M1-Spezifikationen und -Anpassungen,Request for MacBook Air M1 specifications and adaptations,Request
Petit problème d'expérience utilisateur avec l'affichage de l'interface,Small user experience problem with interface display,Problem
Asistencia al Cliente: Incidencia con la Pantalla que Parpadea del Lenovo IdeaPad 5,Customer Support: Incidence with the Screen of Lenovo IdeaPad 5,Problem
Demande d'informations détaillées sur les services React,Request for detailed information on React services,Request
Demande de modification des configurations AWS pour optimisation,AWS configuration change request for optimization,Change
[NO_SUBJECT],[NO_SUBJECT],Request
Urgente: Tiempo de inactividad de la red - Mal funcionamiento del router Cisco,Emergency: Network inactivity time - Wrong operation of the Cisco router,Incident
Incidente de Alta Prioridad: Resolución Inmediata Necesaria para el Despliegue de AWS,High Priority Incidence: Immediate Resolution Necessary for AWS deployment,Incident
Solicitação Urgente de Solução de Problemas para o Roteador Cisco ISR4331,Emergency Request for Problem Solution for the Cisco router ISR4331,Incident
Vorgeschlagene Verbesserungen für das Cloud-Management mehrerer AWS-Konten,Suggested improvements for cloud management of several AWS accounts,Request
Consultoria de TI urgente necessária para problemas de servidor,Emergency IT consultation required for server problems,Request
Problemas intermitentes de conectividade com o roteador Cisco ISR4331,Intermittent problems of connectivity with the Cisco ISR4331 router,Incident
Incidente de Baixa Prioridade: Problemas de Conexão do Roteador Cisco ISR4331,Low Priority Incidence: Cisco Driver Connection Problems ISR4331,Incident
Solicitud de asesoramiento sobre la integración del sistema de tickets,Request for advice on the integration of the ticket system,Request
Demande d'échange de produit - Batterie défectueuse,Product exchange request - Defective battery,Request
Resolución Inmediata Necesaria: Zoom 5.11.0 Se Cierra,Emergency Resolution Necessary: Zoom 5.11.0 If Close,Incident
Problem mit Microsoft Surface Pro 7,Problem mit Microsoft Surface Pro 7,Incident
Abweichung im AWS-Rechnungsstatement,Difference in the AWS Account Status,Incident
Antivirus-Angelegenheit,Anti-virus activity,Request
Anfrage zu weiteren RAM-Optionen für Microsoft Surface Pro 7,Request for further frame options for Microsoft Surface Pro 7,Request
Pedido para Abordar Discrepâncias na Declaração de Cobrança,Request to address Discrepancies in the Cobra Declaration,Request
Urgente: Interrupção de Rede,Emergency: Network interruption,Incident
[NO_SUBJECT],[NO_SUBJECT],Problem
Änderungsantrag für das Abonnement,Amendment to the subscription request,Change
Problem mit dem AWS Management Service,Problem with AWS Management Service,Incident
Attention immédiate requise : problème d'accès à Jira,Emergency attention required: problem of access to Jira,Problem
Solicitud de más opciones de RAM para Microsoft Surface Pro 7,Request for more RAM options for Microsoft Surface Pro 7,Request
[NO_SUBJECT],[NO_SUBJECT],Change
Unterstützung bei der Bildschirmfreigabe in Zoom,Support for screen savers in Zoom,Request
Interrupção Crítica de Serviço,Critical Service Interruption,Incident
Urgente: Necesidad de Actualización del Firmware del Enrutador,Urgent: Need to Update the Driver Firmware,Change
Problemas con la activación de Norton Antivirus Plus,Problems with activation of Norton Antivirus Plus,Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
Unmittelbare AWS-Unterstützung Erforderlich,Direct AWS Support Necessary,Request
Demande d'évaluation des pannes de serveur fréquentes,Application for assessment of frequent server panels,Problem
Asistencia Necesaria: Gestión de Contraseñas de Chrome y Comprensión de las Características de Seguridad,Necessary assistance: Management of Chrome Passwords and Understanding of Security Features,Change
Dringende Hilfe benötigt bei Herausforderungen in der AWS-Administration,Emergency assistance is needed when challenges are encountered in the AWS administration,Request
Necesito asistencia para la respuesta de consultas lentas en MySQL 8.0.30,Need assistance to respond to slow consultations in MySQL 8.0.30,Problem
Rechnung Streitfall,Computing dispute case,Request
Dringend: Probleme mit der Netzwerkverbindung des Cisco Routers ISR4331,Urgent: Problems with the network connection of Cisco router ISR4331,Problem
Solicitud de intercambio de impresora: Canon PIXMA MG3620,Printer exchange request: Canon PIXMA MG3620,Request
Solicitud de Configuración del Servidor,Server Configuration Request,Change
El cliente reportó inconvenientes con la instalación de Kaspersky Internet Security 2024,The customer reported inconsistencies with the installation of Kaspersky Internet Security 2024,Incident
Solicitação de Assistência para Alteração de Configuração da AWS,Application for AWS Configuration Change Assistance,Change
Urgente: Dificuldade com a Configuração da Impressora HP LaserJet Pro M15w,Emergency: Difficulty with HP LaserJet Pro M15w Printer Configuration,Incident
